A : (1024,1024):{nnz:10,sparsity=0.000954%}
COO2CSR,0.017863,14.65%,8.28%,7.64%
CSR2COO,0.019342,5.88%,4.71%,3.18%
CSR2CSC_ALG1,0.416996,0.68%,1.04%,0.59%
CSR2CSC_ALG2,0.299008,2.05%,1.03%,1.15%
SpMV_COO,0.024462,4.65%,3.72%,2.52%
SpMV_CSR,0.029810,3.05%,3.82%,2.69%
SpMV_CSC,0.033109,14.43%,7.22%,5.79%
CSR_SPMM,1.572636,0.08%,0.05%,0.05%
COO_SPMM,1.670827,0.08%,0.10%,0.08%
SpGEMM,0.564565,17.90%,7.68%,8.34%
A : (1024,1024):{nnz:10,sparsity=0.000954%}
COO2CSR,0.030948,5.88%,4.04%,3.62%
CSR2COO,0.180110,0.63%,0.51%,0.44%
CSR2CSC_ALG1,0.112185,2.23%,1.42%,1.03%
CSR2CSC_ALG2,0.085675,11.16%,7.97%,5.48%
SpMV_COO,0.020252,6.18%,3.93%,3.37%
SpMV_CSR,0.025145,1.81%,6.33%,2.96%
SpMV_CSC,0.024917,2.74%,5.48%,4.11%
CSR_SPMM,0.167367,3.40%,1.50%,1.37%
COO_SPMM,0.029582,3.85%,3.08%,3.21%
SpGEMM,0.233017,7.23%,3.32%,2.94%
A : (1024,1024):{nnz:20,sparsity=0.001907%}
COO2CSR,0.019228,6.51%,4.14%,4.44%
CSR2COO,0.181248,0.56%,0.56%,0.28%
CSR2CSC_ALG1,0.113095,9.56%,4.02%,4.20%
CSR2CSC_ALG2,0.085106,1.07%,1.34%,0.72%
SpMV_COO,0.020480,5.00%,5.00%,2.50%
SpMV_CSR,0.025486,4.46%,3.57%,3.73%
SpMV_CSC,0.024690,3.69%,0.46%,1.38%
CSR_SPMM,0.177380,1.03%,0.71%,0.48%
COO_SPMM,0.036636,25.78%,7.76%,10.06%
SpGEMM,0.244167,3.59%,3.12%,2.86%
A : (1024,1024):{nnz:41,sparsity=0.003910%}
COO2CSR,0.017636,45.16%,7.10%,17.12%
CSR2COO,0.112981,1.51%,1.21%,1.01%
CSR2CSC_ALG1,0.111616,7.34%,3.67%,3.37%
CSR2CSC_ALG2,0.085220,8.14%,6.28%,4.76%
SpMV_COO,0.023438,9.22%,12.62%,8.58%
SpMV_CSR,0.026283,5.19%,2.60%,2.75%
SpMV_CSC,0.027648,40.74%,14.81%,16.25%
CSR_SPMM,0.127431,1.25%,1.16%,0.81%
COO_SPMM,0.036523,0.93%,1.87%,1.40%
SpGEMM,0.251904,2.85%,3.25%,2.24%
A : (1024,1024):{nnz:83,sparsity=0.007915%}
COO2CSR,0.016725,10.20%,8.16%,5.30%
CSR2COO,0.092501,11.81%,3.69%,4.95%
CSR2CSC_ALG1,0.116281,15.36%,6.65%,6.58%
CSR2CSC_ALG2,0.084309,9.31%,5.26%,5.33%
SpMV_COO,0.020139,6.78%,3.39%,3.60%
SpMV_CSR,0.029924,40.30%,14.45%,16.66%
SpMV_CSC,0.026396,4.74%,3.02%,3.23%
CSR_SPMM,0.093980,5.69%,1.94%,2.42%
COO_SPMM,0.038571,6.19%,4.42%,3.75%
SpGEMM,0.252587,7.84%,3.51%,3.41%
A : (1024,1024):{nnz:167,sparsity=0.015926%}
COO2CSR,0.015701,10.87%,8.70%,7.29%
CSR2COO,0.067584,1.52%,1.52%,1.07%
